logged_at,city,station,target_date,txn,xnd,market_bucket_label,market_price,confidence,raw_score,recommendation,outcome_win,actual_high,app_bucket_label,app_market_price,app_outcome_win,actual_winning_bucket,actual_winning_bucket_app,notes
2026-07-27T16:00:49.519252+00:00,MIA,KMIA,2026-07-27,91.0,2,,,0.968,3.4,WATCH,,90.0,91-92°F,0.51,1,,91-92°F,using CALIBRATED confidence threshold 1.00 (not the static default) | can't check TXN position -- missing: market bucket | XND=2 -> favorable low dispersion | NBM run-to-run spread 1.0F over 3 runs | can't check gridpoint agreement -- missing: market bucket | can't calc margin to edge -- missing: market bucket | no market price data
2026-07-27T16:00:49.755127+00:00,ORD,KORD,2026-07-27,92.0,4,,,0.064,-2.68,SKIP,,85.0,,,,,,using CALIBRATED confidence threshold 1.00 (not the static default) | can't check TXN position -- missing: market bucket | XND=4 -> HARD SKIP (high dispersion) | NBM run-to-run spread 10.1F over 3 runs | can't check gridpoint agreement -- missing: market bucket | can't calc margin to edge -- missing: market bucket | no market price data
2026-07-27T16:00:50.026304+00:00,LGA,KLGA,2026-07-27,85.0,2,84-85°F,0.3,0.953,3.02,WATCH,1,84.0,85-86°F,0.21,0,84-85°F,83-84°F,using CALIBRATED confidence threshold 1.00 (not the static default) | latest TXN 85.0F is inside/above bucket | XND=2 -> favorable low dispersion | NBM run-to-run spread 3.0F over 3 runs | gridpoint forecast 84.0F confirms NBM bucket side | 0.0F cushion from nearest bucket edge | market price 0.30 outside 35-59% band
2026-07-28T15:52:33.874453+00:00,LAX,KLAX,2026-07-28,80.0,1,,,0.911,2.32,WATCH,,78.0,,,,,,using CALIBRATED confidence threshold 1.00 (not the static default) | can't check TXN position -- missing: market bucket | XND=1 -> favorable low dispersion | NBM run-to-run spread 1.5F over 3 runs | can't check gridpoint agreement -- missing: market bucket | can't calc margin to edge -- missing: market bucket | no market price data
2026-07-28T15:52:34.106343+00:00,SFO,KSFO,2026-07-28,72.0,3,72-73°F,0.06,0.847,1.71,SKIP,0,70.0,,,,70-71°F,,using CALIBRATED confidence threshold 1.00 (not the static default) | latest TXN 72.82F is inside/above bucket | XND=3 -> HARD SKIP (high dispersion) | NBM run-to-run spread 1.8F over 3 runs | gridpoint forecast 72.0F confirms NBM bucket side | 0.2F cushion from nearest bucket edge | market price 0.06 outside 35-59% band
2026-07-28T15:52:34.332463+00:00,MIA,KMIA,2026-07-28,92.0,2,92-93°F,0.385,0.997,5.765,WATCH,0,89.0,92-93°F,0.64,0,88-89°F,90-91°F,using CALIBRATED confidence threshold 1.00 (not the static default) | latest TXN 92.29F is inside/above bucket | XND=2 -> favorable low dispersion | NBM run-to-run spread 1.3F over 3 runs | gridpoint forecast 92.0F confirms NBM bucket side | 0.3F cushion from nearest bucket edge | market price 0.39 in 35-59% band
2026-07-28T15:52:34.532421+00:00,ORD,KORD,2026-07-28,81.0,2,,,0.627,0.52,SKIP,,79.0,81-82°F,0.03,0,,79-80°F,using CALIBRATED confidence threshold 1.00 (not the static default) | can't check TXN position -- missing: market bucket | XND=2 -> favorable low dispersion | NBM run-to-run spread 10.4F over 3 runs | can't check gridpoint agreement -- missing: market bucket | can't calc margin to edge -- missing: market bucket | no market price data
2026-07-28T15:52:34.751477+00:00,LGA,KLGA,2026-07-28,81.0,2,80-81°F,0.775,0.955,3.05,WATCH,1,80.0,,,,80-81°F,,using CALIBRATED confidence threshold 1.00 (not the static default) | latest TXN 80.94F is inside/above bucket | XND=2 -> favorable low dispersion | NBM run-to-run spread 4.1F over 3 runs | gridpoint forecast 80.0F confirms NBM bucket side | 0.1F cushion from nearest bucket edge | market price 0.78 outside 35-59% band
2026-07-29T15:35:11.694893+00:00,LAX,KLAX,2026-07-29,79.0,1,80-81°F,0.095,0.976,3.725,WATCH,0,79.0,,,,78-79°F,,using CALIBRATED confidence threshold 1.00 (not the static default) | latest TXN 80.33F is inside/above bucket | XND=1 -> favorable low dispersion | NBM run-to-run spread 0.3F over 3 runs | gridpoint forecast 77.0F contradicts NBM bucket side | 0.3F cushion from nearest bucket edge | market price 0.10 outside 35-59% band
2026-07-29T15:35:12.047038+00:00,SFO,KSFO,2026-07-29,72.0,3,72-73°F,0.045,0.856,1.785,SKIP,0,69.0,,,,68-69°F,,using CALIBRATED confidence threshold 1.00 (not the static default) | latest TXN 72.67F is inside/above bucket | XND=3 -> HARD SKIP (high dispersion) | NBM run-to-run spread 1.7F over 3 runs | gridpoint forecast 72.0F confirms NBM bucket side | 0.3F cushion from nearest bucket edge | market price 0.04 outside 35-59% band
